seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,18,2060305.5,624.7499668552326,443.37046595982144,8.722824506289333,343.30280385624354,291.587158203125,4.778881038343888,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,19,2133365.5,586.2322096688399,421.69310360863096,8.247507103261247,377.75767688989276,329.844482421875,5.359301938484274,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,20,2261387.5,596.216844245812,426.8638857886905,8.365214142375365,366.8926592754837,319.196533203125,5.197756603142524,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,21,2399547.25,637.2420962906049,451.60595703125,8.893515541892738,335.90003627836245,280.459716796875,4.610061088460679,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,22,2154850.25,552.9824303926015,402.1928943452381,7.797949577914028,428.6020970163001,372.05615234375,5.999716184718352,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,23,2178378.5,581.94405350766,419.4149228050595,8.19538424146729,382.9247308548493,334.628662109375,5.43188510882767,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,24,2131484.0,540.3695606909665,396.73809523809524,7.646352101068297,458.263938447903,393.513916015625,6.325262593406425,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,25,2194297.25,604.6543045344896,431.7475353422619,8.4721119131993,358.84897247855395,310.650146484375,5.068095118092466,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,26,2212186.5,539.3037529569759,396.73809523809524,7.640779116474773,461.2762143766636,395.612060546875,6.357094587993646,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,27,1945477.25,535.6306597660802,396.73809523809524,7.620176452578929,472.5690709873841,405.408203125,6.510244149701651,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,28,2132862.25,582.6333413366988,419.7856677827381,8.203866574916,382.0722944124453,333.85009765625,5.420073120145027,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,29,2104466.75,584.3839849662955,420.7193312872024,8.225228011079874,379.9453653456552,331.889404296875,5.390326465673306,True
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,0,2158754.25,550.50968998027,400.7479771205357,7.762752120065362,433.72838210716816,375.882080078125,6.057761237915503,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,1,2113902.0,589.8356774240226,423.55845424107144,8.29018475775625,373.6562092907515,325.92724609375,5.299871597181976,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,2,2166215.25,607.2313748893978,433.1985677083333,8.503873431634414,356.58197227352593,308.11083984375,5.0295700336496365,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,3,2246957.75,565.4803609222437,409.9281994047619,7.97833598441234,406.16173868446964,354.55078125,5.7341334902928445,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,4,2358270.25,578.7325266517386,417.6630394345238,8.15530262254643,387.0121070798135,338.3076171875,5.487700366732582,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,5,2070330.375,590.8735886765825,424.0880068824405,8.302300477059756,372.5136462665834,324.815185546875,5.282999973334549,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,6,2275212.5,657.5319359872358,468.2212379092262,9.22217646822316,327.12952181825204,268.5962727864583,4.438137735660035,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,7,2176744.0,541.7186153658948,396.9104817708333,7.656182302695804,454.59416561501496,390.93994140625,6.286211543961108,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,8,2312552.75,584.0759747637084,420.55587332589283,8.2214882303245,380.3156694703843,332.232666015625,5.3955342599937195,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,9,2087627.25,558.3939269109374,405.35986328125,7.8738162939554295,418.2459859648754,364.144287109375,5.879681340805386,False
