Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2020-01-01,6732.0,6416.927545310796,6416.927545310795,6416.927545310797,4048.9536770695017,8784.90141355209,6060.9834,5991.734,6130.233,3152.0854,8969.881,Test,2020-2022,36
2020-02-01,6587.0,6004.795253494615,6004.795253494614,6004.795253494616,3636.8213852533213,8372.76912173591,6064.3335,6000.2476,6128.4194,3155.4355,8973.231,Test,2020-2022,36
2020-03-01,7438.0,6669.677165122628,6669.677165122628,6669.677165122628,4301.703296881335,9037.651033363922,6044.3335,5978.403,6110.264,3135.4355,8953.231,Test,2020-2022,36
2020-04-01,8138.0,6249.118032373132,6249.118032373131,6249.118032373133,3881.1441641318384,8617.091900614427,6017.7144,5946.5874,6088.8413,3108.8164,8926.612,Test,2020-2022,36
2020-05-01,9609.0,6485.36120754644,6485.361207546439,6485.361207546441,4117.387339305145,8853.335075787734,6025.708,5947.6846,6103.7314,3116.81,8934.605,Test,2020-2022,36
2020-06-01,8378.0,6429.152939672536,6429.1529396725355,6429.152939672537,4061.1790714312424,8797.12680791383,6018.629,5941.66,6095.5977,3109.731,8927.527,Test,2020-2022,36
2020-07-01,8692.0,6719.123186558651,6719.123186558651,6719.123186558651,4351.149318317357,9087.097054799944,5992.263,5923.667,6060.8594,3083.3652,8901.161,Test,2020-2022,36
2020-08-01,8436.0,6727.585411618247,6727.585411618245,6727.585411618249,4359.611543376954,9095.55927985954,5955.3755,5886.2837,6024.4673,3046.4775,8864.273,Test,2020-2022,36
2020-09-01,7657.0,6360.957830575927,6360.957830575927,6360.957830575927,3992.983962334633,8728.931698817221,5949.5825,5881.0913,6018.0737,3040.6846,8858.48,Test,2020-2022,36
2020-10-01,7537.0,6586.575274798064,6586.575274798064,6586.575274798064,4218.601406556771,8954.549143039358,5941.5796,5874.3076,6008.8516,3032.6816,8850.478,Test,2020-2022,36
2020-11-01,7498.0,6609.907624975278,6609.907624975277,6609.907624975279,4241.933756733984,8977.881493216571,5933.2354,5865.138,6001.3325,3024.3374,8842.133,Test,2020-2022,36
2020-12-01,7861.0,6729.813846350486,6729.813846350486,6729.813846350486,4361.839978109192,9097.78771459178,5928.5454,5860.49,5996.6006,3019.6475,8837.443,Test,2020-2022,36
2021-01-01,9066.0,6608.907425106727,6608.907425106726,6608.907425106728,4240.933556865433,8976.88129334802,5922.65,5855.6777,5989.622,3013.752,8831.548,Test,2020-2022,36
2021-02-01,7946.0,6183.324216159214,6183.324216159214,6183.324216159214,3815.3503479179203,8551.298084400509,5915.165,5850.7607,5979.5693,3006.267,8824.0625,Test,2020-2022,36
2021-03-01,9528.0,6836.013273255718,6836.013273255718,6836.013273255718,4468.039405014424,9203.987141497011,5909.2295,5845.7124,5972.7466,3000.3315,8818.127,Test,2020-2022,36
2021-04-01,9644.0,6401.630570954963,6401.630570954963,6401.630570954963,4033.6567027136693,8769.604439196257,5906.0225,5843.0024,5969.0425,2997.1245,8814.92,Test,2020-2022,36
2021-05-01,9504.0,6627.282058221179,6627.282058221179,6627.282058221179,4259.308189979885,8995.255926462472,5902.529,5840.2485,5964.809,2993.6309,8811.427,Test,2020-2022,36
2021-06-01,9207.0,6559.881253217625,6559.881253217623,6559.881253217627,4191.907384976332,8927.855121458919,5899.425,5837.416,5961.4336,2990.5269,8808.322,Test,2020-2022,36
2021-07-01,9545.0,6841.958148107797,6841.958148107797,6841.958148107797,4473.984279866503,9209.93201634909,5897.12,5835.5474,5958.693,2988.2222,8806.018,Test,2020-2022,36
2021-08-01,9546.0,6842.800391030067,6842.800391030066,6842.800391030068,4474.826522788773,9210.77425927136,5894.6416,5833.7007,5955.5825,2985.7437,8803.539,Test,2020-2022,36
2021-09-01,9125.0,6467.584113060739,6467.584113060738,6467.58411306074,4099.610244819445,8835.557981302032,5892.236,5831.995,5952.4766,2983.338,8801.134,Test,2020-2022,36
2021-10-01,8929.0,6687.495937534959,6687.495937534959,6687.495937534959,4319.5220692936655,9055.469805776253,5890.386,5830.531,5950.2417,2981.4883,8799.284,Test,2020-2022,36
2021-11-01,8474.0,6706.957664569649,6706.957664569649,6706.957664569649,4338.983796328355,9074.931532810942,5888.8594,5829.3228,5948.396,2979.9614,8797.758,Test,2020-2022,36
2021-12-01,8812.0,6817.915190229409,6817.915190229409,6817.915190229409,4449.941321988115,9185.889058470702,5887.4106,5828.212,5946.6094,2978.5127,8796.309,Test,2020-2022,36
2022-01-01,9266.0,6690.296110717458,6690.296110717457,6690.296110717459,4322.322242476164,9058.269978958751,5886.182,5827.2,5945.164,2977.2842,8795.08,Test,2020-2022,36
2022-02-01,8713.0,6258.4813609362145,6258.481360936214,6258.481360936215,3890.5074926949205,8626.455229177509,5885.125,5826.383,5943.867,2976.227,8794.023,Test,2020-2022,36
2022-03-01,9427.0,6905.385675827018,6905.385675827017,6905.3856758270185,4537.411807585724,9273.359544068311,5884.093,5825.624,5942.5615,2975.1948,8792.99,Test,2020-2022,36
2022-04-01,8786.0,6465.894209943237,6465.894209943236,6465.894209943238,4097.9203417019435,8833.86807818453,5883.174,5824.944,5941.404,2974.276,8792.072,Test,2020-2022,36
2022-05-01,9042.0,6686.61603277804,6686.616032778038,6686.616032778042,4318.642164536746,9054.589901019333,5882.4087,5824.3555,5940.462,2973.5107,8791.307,Test,2020-2022,36
2022-06-01,9072.0,6614.7888335791995,6614.788833579199,6614.7888335792,4246.814965337906,8982.762701820493,5881.7207,5823.831,5939.6104,2972.8228,8790.619,Test,2020-2022,36
2022-07-01,9679.0,6892.5420009474565,6892.5420009474565,6892.5420009474565,4524.568132706163,9260.51586918875,5881.1035,5823.363,5938.844,2972.2056,8790.002,Test,2020-2022,36
2022-08-01,9325.0,6889.416721690906,6889.416721690905,6889.416721690907,4521.442853449613,9257.3905899322,5880.567,5822.946,5938.188,2971.669,8789.465,Test,2020-2022,36
2022-09-01,8977.0,6510.677194508703,6510.677194508702,6510.677194508704,4142.703326267409,8878.651062749997,5880.081,5822.5806,5937.5815,2971.183,8788.979,Test,2020-2022,36
2022-10-01,9245.0,6727.121034477952,6727.121034477952,6727.121034477952,4359.147166236658,9095.094902719246,5879.632,5822.25,5937.0137,2970.734,8788.529,Test,2020-2022,36
2022-11-01,9026.0,6743.244034093719,6743.244034093718,6743.24403409372,4375.270165852426,9111.217902335013,5879.2354,5821.954,5936.5166,2970.3374,8788.133,Test,2020-2022,36
2022-12-01,9733.0,6851.619731997218,6851.619731997217,6851.619731997219,4483.645863755924,9219.593600238511,5878.8896,5821.694,5936.0854,2969.9917,8787.787,Test,2020-2022,36
